title,plot,genres
S.W.A.T.,"Based off of a one time T.V. show, two Los Angeles S.W.A.T. officers Jim Street and Brian Gamble were sent in to foil an extremely violent bank robbery. Although they thwarted the robbery, they shot a hostage in the process. Street was suspended from S.W.A.T. while Gamble was fired altogether. After 6 months, a veteran S.W.A.T. officer, Daniel Harrelson or ""Hondo"", is told to assemble a S.W.A.T. team for his division. He chooses other S.W.A.T. officers as well as 3 rookies. However, after they pass the S.W.A.T. training, they receive a message that a French crime boss, known as Alex Montell is trying to escape from prison. This will not be easy to prevent, especially after Montell promises $100 Million to his rescuers.","['Action', 'Adventure', 'Crime', 'Thriller']"
Sleepy Hollow,,"['Action', 'Adventure', 'Crime', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']"
Vanilla Sky,"Incarcerated and charged with murder, David Aames Jr. is telling the story of how he got to where he is to McCabe, the police psychologist. That story includes: being the 51% shareholder of a major publishing firm, which he inherited from his long deceased parents; the firm's board, appointed by David Aames Sr., being the 49% shareholders who would probably like to see him gone as they see him as being too irresponsible and immature to run the company; his best bro friendship with author, Brian Shelby; his ""friends with benefits"" relationship with Julie Gianni, who saw their relationship in a slightly different light; his budding romance with Sofia Serrano, who Brian brought to David's party as his own date and who Brian saw as his own possible life mate; and being in an accident which disfigured his face and killed the person who caused the accident. But as the story proceeds, David isn't sure what is real and what is a dream/nightmare as many facets of the story are incompatible to be all real. The mysterious man in the restaurant may be able to shed some light on David's confusion.","['Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']"
Lady in the Water,,"['Drama', 'Fantasy', 'Mystery', 'Thriller']"
Alien vs. Predator,"When a private satellite encounters an unidentified source of heat in Antarctica and it is found to be a pyramid buried deep underground , a search team comprising of top-of-the-line archaeologists and engineers is sent to Antarctica to find out more . Once there , the team comes across signs which indicate that the place is inhabited by an unknown alien species . It is not long before the aliens begin to hunt the team members . At the same time , a trio of coming-of-age Predators have arrived to collect the skulls of the aliens as trophies , and the humans are caught between a deadly battle between the two warring species .","['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']"
Alvin and the Chipmunks: The Squeakquel,"After a concert mishap lands Dave in the hospital, Alvin, Simon, and Theodore end up in the care of his twenty-something cousin, Toby. They put aside their stardom to return to school to win an annual ""Battle of the Bands"" competition to save the music program, but they meet their match with the Chipettes: Brittany, Jeanette, and Eleanor, who work for their ex-manager, Ian Hawke. The Chipmunks and the Chipettes square off; romantic sparks and crazy mishaps ensue.","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical']"
We Were Soldiers,"A telling of the 1st Battalion, 7 Cavalry Regiment, 1st Calvary Division's battle against overwhelming odds in the Ia Drang valley of Vietnam in 1965. Seen through the eyes of the battalion's commander, Lieutenant Colonel Hal Moore (played by Mel Gibson), we see him take command of the battalion and its preparations to go into Vietnam. We also see how the French had, years earlier, been defeated in the same area. The battle was to be the first major engagement between U.S. and N.V.A. forces in South Vietnam, and showed the use of helicopters as mobility providers and assault support aircraft.","['Action', 'Drama', 'History', 'War']"
Olympus Has Fallen,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, former Presidential Secret Service Agent Mike Banning finds himself trapped within the building. As our national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.","['Action', 'Thriller']"
Star Trek: Insurrection,"While on a mission to observe the peaceful Ba'ku race, Lieutenant Commander Data suddenly behaves as if having to fear for his existence. The immortal Ba'ku, whose planet offers regenerative radiation, and therefore incredible lifespans, live in harmony with nature and reject advanced technology. Their planet and their culture is secretly researched by the Federation associated with an alien race called the Son'a. But the Son'a intend to abduct the Ba'ku in order to take the planet for themselves and for the Starfleet officials who all would like to regenerate their bodies. But they did not think of the loyalty of Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise NCC-1701-E to the Prime Directive.","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Battle Los Angeles,"Los Angeles and other cities around the world are being bombarded by meteors that seem to be slowing down once they hit the earth's atmosphere. The earth is suddenly being invaded by space aliens that have landed off the shore of LA, and who begin killing everybody along the beach. The military is ordered into action. Marine Staff Sergeant Nantz (Aaron Eckhart), who was about to retire, is reassigned to a new platoon. The platoon, flown by chopper to the forward operating base at Santa Monica Airport, is being led by a new 2nd Lt. Martinez (Ramon Rodriguez). They are sent on a mission to rescue some civilians who are trapped at the police station within alien territory. They only have 3 hours to complete their mission and get out before the Air Force bombs that zone.","['Action', 'Adventure', 'Sci-Fi']"
Big Fish,"United Press International journalist Will Bloom and his French freelance photojournalist wife Josephine Bloom, who is pregnant with their first child, leave their Paris base to return to Will's hometown of Ashton, Alabama on the news that his father, Edward Bloom, stricken with cancer, will soon die, he being taken off chemotherapy treatment. Although connected indirectly through Will's mother/Edward's wife, Sandra Bloom, Will has been estranged from his father for three years since his and Josephine's wedding. Will's issue with his father is the fanciful tales Edward has told of his life all his life, not only to Will but the whole world. As a child when Edward was largely absent as a traveling salesman, Will believed those stories, but now realizes that he does not know his father, who, as he continues to tell these stories, he will never get to know unless Edward comes clean with the truth before he dies. On the brink of his own family life beginning, Will does not want to be the kind of father Edward has been to him. One of those stories from Edward's childhood - that he saw his own death in the glass eye of a witch - led to him embracing life since he would not have to fear death knowing when and how it would eventually come. The question is whether Will will be able to reconcile Edward's stories against his real life, either directly from Edward before he dies and/or from other sources, and thus allow Will to come to a new understanding of himself and his life, past, present and future.","['Adventure', 'Drama', 'Fantasy', 'Romance']"
Wolf,"Worn down and out of luck, aging publisher Will Randall (Jack Nicholson) is at the end of his rope when a younger co-worker snatches his job out from under his nose. But after being bitten by a wolf, Will suddenly finds himself energized, more competitive than ever, and possessed with amazingly heightened senses. Meanwhile, the beautiful daughter of his shrewd boss begins to fall for him - without realizing that the man she's begun to love is gradually turning into the creature by which he was bitten.","['Drama', 'Horror', 'Romance', 'Thriller']"
War Horse,"On the outbreak of the First World War, Albert's beloved horse 'Joey' is sold to the Cavalry by his Father. After being sent to France, in a bid to survive, Joey has an unexpected journey across war torn Europe. Albert enlists in the British Army, and is wounded during the Battle of the Somme. Whilst recovering in Hospital, he learns of a Horse, found in no mans land.","['Action', 'Adventure', 'Drama', 'War']"
The Monuments Men,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on an unlikely World War II platoon, tasked by FDR with going into Germany to rescue artistic masterpieces from German thieves and returning them to their rightful owners. It would be an impossible mission: with the art trapped behind enemy lines, and with the German Army under orders to destroy everything as the Reich fell, how could these guys - seven museum directors, curators, and art historians, all more familiar with Michelangelo than the M1 - possibly hope to succeed? But as the Monuments Men, as they were called, found themselves in a race against time to avoid the destruction of 1000 years of culture, they would risk their lives to protect and defend mankind's greatest achievements.","['Comedy', 'Drama', 'War']"
The Abyss,"Formerly married petroleum engineers who still have some issues to work out. They are drafted to assist a gung-ho Navy SEAL with a top-secret recovery operation: a nuclear sub has been ambushed and sunk, under mysterious circumstances, in some of the deepest waters on Earth.","['Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Wall Street: Money Never Sleeps,"As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two-tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.",['Drama']
Dracula Untold,"At the turn of the century, the young lord Vlad and his family live a peaceful life ruling over their small kingdom, but when a Turk warlord demands from Vlad a thousand boys and his son to create an army Vlad seeks a terrible power that will allow him to protect his kingdom and family from the Turks at a terrible cost.","['Action', 'Drama', 'Fantasy', 'Horror']"
The Siege,"After the abduction by the US military of an Islamic religious leader, New York City becomes the target of escalating terrorist attacks. Anthony Hubbard, the head of the FBI's Counter-Terrorism Task Force in New York, teams up with CIA operative Elise Kraft to hunt down the terrorist cells responsible for the attacks. As the bombings continue, the US government responds by declaring martial law, sending US troops, led by Gen. Devereaux, into the streets of New York City.","['Action', 'Thriller']"
Stardust,"The passage from this world to the fantasy kingdom of Stormhold is through a breach in a wall beside an English village. In the 1800s, a boy becomes a man when he ventures through the breach in pursuit of a fallen star, to prove his love for the village beauty. The star is no lump of rock, it's a maiden, Yvaine. Tristan, the youth, is not the only one looking for her: three witches, led by Lamia, want her heart to make them young; and, the sons of the dead king of Stormhold want her because she holds a ruby that will give one of them title to the throne. Assisting Tristan are his mother, the victim of a spell, and a cross-dressing pirate of the skies. Will Tristan win his true love?","['Adventure', 'Family', 'Fantasy', 'Romance']"
Seven Years in Tibet,"After the deaths of 11 climbers, Austrian Heinrich Harrer (Brad Pitt) decides to add glory to his country and to the Austrian pride by climbing Nanga Parbat in British India, and leaves his expectant wife behind. An egoist and a loner, he does not get along with others on his team, but must bend to their wishes after bad weather threatens them. Then WWII breaks out and they are arrested and lodged in Dehra Dun's P.O.W. Camp. He attempts to break out several times in vain, but finally does succeed along with Peter Aufschnaiter (David Thewlis), and they end up in the holy city of Lhasa--a place forbidden to foreigners. They are provided food and shelter, and Peter ends up marrying tailor Pema Lhaki, while Heinrich befriends the Dalai Lama. They meet regularly; while he satiates the child's curiosity about the world, including Jack the Ripper and 'yellow hair'; he is exposed to the teachings of Lord Buddha, He even constructs a movie theater, while getting news of the end of the war, his divorce, and his son's refusal to communicate. But nothing will prepare him for the devastation about to descend when Communist China decides to attack, leading to the deaths of over 1 million Tibetans, the destruction of over 6000 monasteries, and betrayal from their very own people.","['Adventure', 'Biography', 'Drama', 'History', 'War']"
The Dilemma,"A man finds out that what you don't say to a friend is just as important as what you do is this story of how far you can bend a brotherly bond before it snaps. Since college, confirmed bachelor Ronny (Vaughn) and happily married Nick (James) have been through thick and thin. Now partners in an auto design firm, the pals are vying to land a dream project that would launch their company. Ronny's girlfriend Beth (Connelly) and Nick's wife Geneva (Ryder) are by their sides. But Ronny's world is turned upside-down when he catches Geneva out with another man and makes it his mission to get answers. As the amateur investigation dissolves into mayhem, he learns that Nick has his own secrets. With the clock ticking and pressure mounting on the biggest presentation of their careers, Ronny must decide whether to reveal the truth to his best friend.","['Comedy', 'Drama']"
Bad Company,"When a C.I.A. Agent is killed during a nuclear-arms purchase, his partner Oakes (Sir Anthony Hopkins), recruits his twin brother, Jake Hayes (Chris Rock), who had no idea he even had a twin brother, let alone that he worked for the C.I.A. Jake, aka Michael Turner, has 9 days to fill his brother's place. However, the enemy terrorists learn of his secret identity and kidnap his girlfriend/fiancée, and he must rescue her and save New York City from an imminent nuclear terrorist act.","['Action', 'Comedy', 'Thriller']"
Doom,Something has gone wrong at a remote scientific research station on Mars. All research has ceased. Communication has failed. And the messages that do get through are less than comforting. It's a level 5 quarantine and the only souls allowed in or out are the Rapid Response Tactical Squad - hardened Marines armed to the teeth with enough firepower to neutralize the enemy...or so they think.,"['Action', 'Horror', 'Sci-Fi']"
I Spy,"When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful illegal arms dealers, and foil his treacherous plans for the plane.","['Action', 'Adventure', 'Comedy', 'Thriller']"
Underworld: Awakening,"Mankind discover the existence of the Vampire and Lycan species and begin a war to annihilate the races. When Selene meets with Michael, they're hit by a grenade. 12 years later, Selene awakens and meets the vampire, David. She learns she had been the subject of scientist Dr. Jacob Lane, and the Vampire and Lycan species have been practically eradicated from Earth. Now, Selene and David must protect a 12-year-old girl against the Lycans who intend to use her.","['Action', 'Fantasy', 'Thriller']"
Rock of Ages,"1987. Naive Sherrie Christian has just arrived in Hollywood from Tulsa looking to become a rock star. She is just like Drew Boley was when he first arrived in Hollywood, he, now the Hollywood veteran, who works as a bar back at the Bourbon Club, known as the center of the rock scene in town and the place where many of the biggest acts in rock got their big break. The two meet as Drew helps Sherrie with a situation when she first arrives in town. Despite Dennis Dupree, the Bourbon's owner/manager, not liking to hire people like Drew or Sherrie - someone who has musical aspirations - as service staff, Drew is able to convince Dennis and his assistant Lonny to hire Sherrie as a server, Drew and Sherrie who have a blossoming mutual attraction. Dennis and Lonny, who are having financial difficulties, are able to convince rock star Stacee Jaxx, the perpetually stoned front man for the band Arsenal who got his first break performing at the Bourbon, to perform for free at a benefit concert at the club. Rumors are that Stacee is leaving Arsenal after their next gig to go solo, Rolling Stones reporter Constance Sack who wants to get the true story as to the reason. Another problem for the Bourbon is that Mayor Mike Whitmore is taking a tough stance on what he sees as bad societal influences like rock music. His Christian fundamentalist wife Patricia Whitmore is leading the on the ground campaign in this area, she who is determined to shut down the Bourbon. But Patricia is hiding a secret from her past as to the reason for her extreme fervor in getting rid of the Bourbon. As Drew and Sherrie's romance blossoms, other romances around them blossom as well. But their romance and their musical aspirations are threatened by trying to stay true to their musical visions, changing musical tastes, and by Stacee himself.","['Comedy', 'Drama', 'Musical', 'Romance']"
Hart's War,"Fourth-generation Army Col. William McNamara is imprisoned in a brutal German POW camp. Still, as the senior-ranking American officer, he commands his fellow inmates, keeping a sense of honor alive in a place where honor is easy to destroy, all under the dangerous eye of the Luftwaffe veteran Col. Wilhelm Visser. Never giving up the fight to win the war, McNamara is silently planning, waiting for his moment to strike back at the enemy. A murder in the camp gives him the chance to set a risky plan in motion. With a court martial to keep Visser and the Germans distracted, McNamara orchestrates a cunning scheme to escape and destroy a nearby munitions plant, enlisting the unwitting help of young Lt. Tommy Hart. Together with his men, McNamara uses a hero's resolve to carry out his mission, ultimately forced to weigh the value of his life against the good of his country.","['Drama', 'War']"
Killer Elite,"Loosely-based on a true story, Killer Elite pits two of the world's most elite operatives--Danny, a ruthless killer-for-hire (Jason Statham); and Hunter, his longtime mentor (Robert De Niro)--against the cunning leader of a secret society of former Special Air Service operatives(Clive Owen). Covering the globe from Australia to Paris, London, and the Middle East, Danny and Hunter are plunged into a highly-dangerous game of revenge and deception--where things are not always what they appear to be.","['Action', 'Crime', 'Thriller']"
Rollerball,"In this fast action-packed thriller, Jonathan (Chris Klein), Marcus (LL Cool J), and Aurora (Rebecca Romijn) compete in a dangerous, fierce sport called Rollerball. Although, Jonathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich (Jean Reno) encourages them to still participate. Petrovich sends his men to attack them while they are on a trip, but Jonathan survives. In the end during a game of Rollberball, Petrovich attempts a public execution of Jonathan, but the question is will Jonathan get revenge.","['Action', 'Sci-Fi', 'Sport']"
Ballistic: Ecks vs. Sever,"FBI Agent Jonathan Ecks realizes that he must join with his lifelong enemy, Agent Sever, a rogue DIA agent with whom he is in mortal combat, in order to defeat a common enemy that has developed a ""micro-device"" that can be injected into victims in order to kill them at will.","['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']"
Hard Rain,"In the small town of Huntingburg, the armored truck with three million dollars driven by Tom and his Uncle Charlie gets stuck in the flooding. They realize that the town has been evacuated since the dam does not have capacity to hold the storm. While waiting for the National Guard, they are attacked by Jim and his gang formed by Kenny, Mr. Mehlor and Ray and the clumsy Kenny kills Charlie. Tom flees with the bags of money and hides them in the cemetery. Then he is hunted down by Jim and his gang and he hides in a church. Out of the blue, he is knocked out and awakes locked in a cell. Soon he learns that the restorer Karen believed he was a looter and hit him. Sheriff Mike Collins and Deputy Wayne Bryce go to investigate Tom' story while Officer Phil takes Karen out of the town by boat. However she escapes with the boat and goes to the church. Meanwhile Tom is trapped in the cell full of water and Karen rescues him. He decides to return to the armored truck to retrieve a shotgun but he is captured by Jim and his men and learns that Charlie was part of the gang. He tries to retrieve the hidden money for the gang, but Sheriff Collins and his men have already taken it. Soon Tom learns that the Sheriff wants to keep the money for him and his men and Tom and Karen are witnesses and he teams up with Jim.","['Action', 'Crime', 'Drama', 'Thriller']"
Osmosis Jones,"Frank Detorre is a slovenly zookeeper and widowed father to his daughter, Shane. He catches a cold right after he swallows a germ-ridden egg. The inside of his body is known as the ""City of Frank"". An unlikely hero of a white blood cell named Osmosis Jones, works as a member of Immunity cell. But with that egg comes a mortal danger: Osmosis discovers that Frank has really contracted a villainous and black-hearted deadly virus known as Thrax who arrives and is plotting to ultimately overheat his body, killing him from the inside out. Thrax is motivated by trying to become the nastiest new virus, attempting to kill each new victim faster than the previous ones. His grandiose plan for Frank is death in 48 hours, breaking previous medical records. Meanwhile the cold pill that Frank took, Drix, arrives in the body and covers his throat with ice to cover the irritation. Osmosis becomes his newest partner. Now it's all up to them to put an end of Thrax's plans before Frank dies and Shane becomes an orphan.","['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Sci-Fi']"
Legends of Oz: Dorothy's Return,"In the Land of Oz, the Emerald City's co-leaders, the Scarecrow, Tin Woodman, and the Cowardly Lion, discover that an evil Jester has stolen the broomstick of his sister, the late Wicked Witch of the West, and taken control over the Flying Monkeys. With Oz's future at stake, the Scarecrow decides to use his invention called the Rainbow Mover to summon Dorothy Gale to save the kingdom again. However, flying monkeys invade the castle and force the trio out the window. In Kansas, Dorothy's farm has been wrecked by a tornado, leaving it in disrepair. A sleazy man claiming to be a government appraiser arrives and condemns the farmhouse, handing the Gales an eviction notice. Dorothy discovers people all across town have been handed the same notices and are moving on. Dorothy and Toto encounter a rainbow which transports them to Oz, but not to the Emerald City as intended.","['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']"
Blackhat,"Nick Hathaway, an extremely talented hacker who has gone astray, finds his way out of a 15 year prison sentence when parts of a computer code he once wrote during his youth appears in a malware that triggered a terrorist attack in a nuclear power plant in China. This opportunity will reunite him with an old friend but will also put him in the middle of a power game between the American and Chinese government as well as an arch villain hacker whose identity he has to find if he wants to keep his freedom and his life.","['Action', 'Crime', 'Thriller']"
Sky Captain and the World of Tomorrow,"In 1939, an intrepid reporter in New York City makes a connection between the story she's covering, of famous scientists suddenly disappearing around the world, and a recent attack on the city by giant robots. Determined to find the solution to these happenings, she seeks the help of her ex-boyfriend, the Captain of a mercenary legion of pilots. The two are investigating the case when the robots attack the city again, though in a stroke of luck, Sky Captain Harry Joseph ""Joe"" Sullivan's right-hand man Dex (Giovanni Ribisi) is able to locate their source. They then set off on an adventure in search of the evil mastermind behind these schemes, who is bent on creating a utopia and destroying the current world.","['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']"
Basic Instinct 2,"Crime novelist Catherine Tramell is living in London, and becomes the center of police investigation (yet again) when her football player boyfriend drowns in a car accident and it is revealed that he was already dead of a drug overdose before Tramell drove the car into water. Police psychoanalyst Dr. Michael Glass is called for examining Tramell, and is intrigued by the seductive and manipulative woman. On the other hand , his friend Det. Roy Washburn is sure Tramell is guilty. Tramell asks Glass to treat her for her 'risk addiction' problem, and with each therapy session, Glass gets more and more suspicious about her intentions. As more and more murders are committed, including that of Glass' ex-wife, Glass becomes obsessed with proving Tramell's guilt although the evidence is contradictory.","['Drama', 'Mystery', 'Thriller']"
Escape Plan,"Ray Breslin is a man who has devoted his life to making prisons inescapable by going into a prison as an inmate and trying to see if he can break out. And he has done a good job so far. A woman who says she works for the CIA approaches Ray and says that a new maximum security prison where the worst criminals are to be incarcerated, is about to be launched. So she wants him to go and make sure no one can get out. He agrees. So they make the necessary preps but when Ray arrives at the prison, he discovers that someone doesn't want him to get out. He then tries to find a way out but he needs help. Another prisoner, Rottmeyer becomes friendly with him. And they decide to work together to get out.","['Action', 'Thriller']"
The Legend of Hercules,"In Ancient Greece 1200 B.C., a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince, Hercules, knows nothing of his real identity or his destiny. He desires only one thing: the love of Hebe, Princess of Crete, who has been promised to his own brother. When Hercules learns of his greater purpose, he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this action-packed epic - a tale of love, sacrifice and the strength of the human spirit.","['Action', 'Adventure', 'Fantasy']"
The Sum of All Fears,"When the President of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. This change in political leaders sparks paranoia among American CIA officials, so CIA Director Bill Cabot (Morgan Freeman) recruits young analyst Jack Ryan (Ben Affleck) to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a US city, and America is quick to blame the Russians.","['Action', 'Drama', 'Thriller', 'War']"
The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob -- knowing that her decision has the potential to ignite the struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.","['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']"
The Score,"Three generations of method acting giants unite for this crime thriller written by Kario Salem and directed by Frank Oz. Robert De Niro stars as Nick Wells, an aging thief whose specialty is safe-cracking and who is on the verge of retiring to a life of ease, running his jazz club and romancing his girlfriend Diane (Angela Bassett). But before he can ride off into the sunset, Nick is pressured to do one last job by his mentor and business partner, a flamboyant and extravagant upscale fence named Max (Marlon Brando). Max is plotting the heist of the Montreal Customs House, and he's got a man on the inside, Jackie Teller (Edward Norton), a talented but volatile crook who has managed to ingratiate himself with the facility's staff as a fellow employee suffering from cerebral palsy. Jackie bristles at Nick's interference in ""his"" score, however, and threatens violence when it seems he's going to be cut out of the action. In the meantime, Nick grows increasingly ill at ease about the operation, as it violates his two most important dictum in thievery: always work alone and never pull a job in your own city.","['Action', 'Crime', 'Drama', 'Thriller']"
Despicable Me,"In a happy suburban neighborhood surrounded by white picket fences with flowering rose bushes, sits a black house with a dead lawn. Unbeknownst to the neighbors, hidden beneath this house is a vast secret hideout. Surrounded by a small army of minions, we discover Gru (Steve Carell), planning the biggest heist in the history of the world. He is going to steal the moon. Gru delights in all things wicked. Armed with his arsenal of shrink rays, freeze rays, and battle-ready vehicles for land and air, he vanquishes all who stand in his way. Until the day he encounters the immense will of three little orphaned girls who look at him and see something that no one else has ever seen: a potential Dad. The world's greatest villain has just met his greatest challenge: three little girls named Margo (Miranda Cosgrove), Edith (Dana Gaier), and Agnes (Elsie Fisher).","['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']"
Money Train,"Two foster brothers work as transit cops. While one's life is as good as it gets, the other's is a pit. After losing his job, getting dumped by his brother, and getting the crap kicked out of him by a loan shark for the umpteenth time, He implements his plan to steal the ""money train,"" a train carrying the New York Subway's weekly revenue. But when things go awry, will his brother be able to save him in time?","['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
Ted 2,"Months after John's divorce, Ted and Tami-Lynn's marriage seems to be on the same road. To patch things up, Ted and Tami-Lynn plan to have a child with John's help, but their failed efforts backfire disastrously. Namely, Ted is declared property by the government, and he loses all of his civil rights. Now, Ted must fight a seemingly hopeless legal battle with an inexperienced young lawyer to regain his rightful legal status. Unfortunately, between Ted's drunken idiocies and sinister forces interested in this situation to exploit him, Ted's quest has all the odds against him.",['Comedy']
Agora,"Alexandria, 391 AD: Hypatia teaches astronomy, mathematics, and philosophy. Her student Orestes is in love with her, as is Davus, her personal slave. As the city's Christians, led by Ammonius and Cyril, gain political power, the institutions of learning may crumble along with the governance of slavery. Jump ahead 20 years: Orestes, the city's prefect, has an uneasy peace with the Christians, led by Cyril. A group from the newly empowered Christians has now taken to enforce their cultural hegemony zealously; first they see the Jews as their obstacle, then nonbelievers. Hypatia has no interest in faith; she's concerned about the movement of celestial bodies and ""the brotherhood of all"". Although her former slave doesn't see it that way.","['Adventure', 'Biography', 'Drama', 'History', 'Romance']"
Mystery Men,"In order to generate more endorsement revenue, Champion City's resident superhero Captain Amazing arranges for the release of super villain Casanova Frankenstein, only to be captured by him. The city's fate rests in the hands of seven loser superhero wannabes: the fork-flinging Blue Rajah, the shovel-wielding Shoveler, the possessed bowling ball-hurling Bowler, the flatulent Spleen, the only-when-nobody's-looking Invisible Boy, the mysterious Sphinx, and the perpetually-angry Mr. Furious.","['Action', 'Comedy', 'Fantasy', 'Sci-Fi']"
Hall Pass,"A couple of married men are always looking at other women. Their wives are fed up with their behavior, and grant them a 'hall pass': a week off their marriage allowing them to do anything. But the guys take their time and their week is almost up. What they don't realize is that at the same time their wives make connections of their own.","['Comedy', 'Romance']"
The Insider,"Balls-out 60 Minutes Producer Lowell Bergman sniffs a story when a former research biologist for Brown and Williamson, Jeff Wigand, won't talk to him. When the company leans hard on Wigand to honor a confidentiality agreement, he gets his back up. Trusting Bergman and despite a crumbling marriage, he goes on camera for a Mike Wallace interview and risks arrest for contempt of court. Westinghouse is negotiating to buy CBS, so CBS attorneys advise CBS News to shelve the interview and avoid a lawsuit. 60 Minutes and CBS News bosses cave, Wigand is hung out to dry, Bergman is compromised, and the CEOs of Big Tobacco may get away with perjury. Will the truth come out?","['Biography', 'Drama', 'Thriller']"
The Finest Hours,"In February of 1952, one of the worst storms to ever hit the East Coast struck New England, damaging an oil tanker off the coast of Cape Cod and literally ripping it in half. On a small lifeboat faced with frigid temperatures and 70-foot high waves, four members of the Coast Guard set out to rescue more than 30 stranded sailors trapped aboard the rapidly-sinking vessel.","['Action', 'Drama', 'History', 'Thriller']"
Body of Lies,"Roger Ferris is a CIA operative in the Middle East; Ed Hoffman is his control at Langley. Cynicism is everywhere. In Amman, Roger works with Hani Salaam, Jordan's head of security, whose only dictum is ""Don't lie to me."" The Americans are in pursuit of a cleric who leads a group placing bombs all over Europe. When Hani rebukes Ed's demand that Jordan allow the Americans to use one of Jordan's double agents, Roger and Ed hatch a plan to bring the cleric to them. The plan is complicated by its being a secret from Hani and by Roger's attraction to a local nurse. Satellites and cell phones, bodies and lies: modern warfare.","['Action', 'Drama', 'Thriller']"
Dinner for Schmucks,"Tim (Rudd) is a rising executive who ""succeeds"" in finding the perfect guest, IRS employee Barry (Carell), for his boss's monthly event, a so-called ""dinner for idiots,"" which offers certain advantages to the exec who shows up with the biggest buffoon.",['Comedy']
Abraham Lincoln: Vampire Hunter,"At the age of 9, Abraham Lincoln witnesses his mother being killed by a vampire, Jack Barts. Some 10 years later, he unsuccessfully tries to eliminate Barts but in the process makes the acquaintance of Henry Sturgess who teaches him how to fight and what is required to kill a vampire. The quid pro quo is that Abe will kill only those vampires that Henry directs him to. Abe relocates to Springfield where he gets a job as a store clerk while he studies the law and kills vampires by night. He also meets and eventually marries the pretty Mary Todd. Many years later as President of the United States, he comes to realize that vampires are fighting with the Confederate forces. As a result he mounts his own campaign to defeat them.","['Action', 'Fantasy', 'Horror']"
Entrapment,"Following the theft of a highly-secured piece of artwork, an agent convinces her insurance agency employers to allow her to wriggle into the company of an aging but active master thief. Connery's burglar takes her on suspiciously and demands rigorous training before their first job together, stealing a highly-valued mask from a chichi party. Their deepening attraction and distrust could tear apart their partnership, but the promise of a bigger prize (some eight billion odd dollars) by Zeta-Jones keeps the game interesting. Only, who's playing with whom?","['Action', 'Crime', 'Romance', 'Thriller']"
Last Man Standing,"Mike Baxter is the marketing director for an iconic outdoor sporting goods store. He loves to have adventures while he's traveling for work and, of course, he drives a pick-up truck. While Mike is king of the hill at work, he's the odd man out in a home that is dominated by women -- namely his wife, Vanessa, and their three daughters, 20- year-old Kristin, 17-year-old Mandy and 13-year-old Eve. After being a stay-at-home mom for years, Vanessa recently returned to the workplace and was quickly promoted (much to the dismay of her primarily male co-workers). As a result of Vanessa's increased work load, Mike is pulled into more hands-on parenting than ever before.",['Comedy']
The X Files,"With problems appearing between FBI agents Fox Mulder and Dana Scully, a dangerous conspiracy is starting to appear. A deadly virus, which appears to be of extraterrestrial origin has appeared, which could destroy all life on Earth. With the help of a paranoid doctor, Alvin Kurtzweil, Mulder and Scully must act fast in order to save everyone on the planet.","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
